"token";"pos";"reference";"ner_raw";"token_normalized";"pos_normalized";"ner_norm";"ner_geoname_ne";"ner_geoname_ne_nn";"ner_geoname_ne_nn_prp";"ner_geoname_ne_nn_prp2"
"hin";"ADV";"O";"O";"hin";"ADV";"O";"O";"O";"O";"O"
"Bleibt";"VVFIN";"O";"O";"Bleibt";"VVFIN";"O";"O";"O";"O";"O"
"nur";"ADV";"O";"O";"nur";"ADV";"O";"O";"O";"O";"O"
"parken";"VVINF";"O";"O";"parken";"VVINF";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"Bahnhofsnähe";"NN";"O";"LOC";"Bahnhofsnähe";"NN";"LOC";"LOC";"LOC";"LOC";"LOC"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"laufen";"VVFIN";"O";"O";"laufen";"VVFIN";"O";"O";"O";"O";"O"
"Will";"VMFIN";"O";"O";"Will";"VMFIN";"O";"O";"O";"O";"O"
"niemand";"PIS";"O";"O";"niemand";"PIS";"O";"O";"O";"O";"O"
"helfen";"VVINF";"O";"O";"helfen";"VVINF";"O";"O";"O";"O";"O"
"Die";"ART";"O";"O";"Die";"ART";"O";"O";"O";"O";"O"
"Leute";"NN";"O";"O";"Leute";"NN";"O";"O";"O";"O";"O"
"brauchen";"VVFIN";"O";"O";"brauchen";"VVFIN";"O";"O";"O";"O";"O"
"jetzt";"ADV";"O";"O";"jetzt";"ADV";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"Nicht";"PTKNEG";"O";"O";"Nicht";"PTKNEG";"O";"O";"O";"O";"O"
"wenn";"KOUS";"O";"O";"wenn";"KOUS";"O";"O";"O";"O";"O"
"alles";"PIS";"O";"O";"alles";"PIS";"O";"O";"O";"O";"O"
"vorbei";"ADV";"O";"O";"vorbei";"ADV";"O";"O";"O";"O";"O"
"ist";"VAFIN";"O";"O";"ist";"VAFIN";"O";"O";"O";"O";"O"
"Jetzt";"ADV";"O";"O";"Jetzt";"ADV";"O";"O";"O";"O";"O"
"heißt";"VVFIN";"O";"O";"heißt";"VVFIN";"O";"O";"O";"O";"O"
"es";"PPER";"O";"O";"es";"PPER";"O";"O";"O";"O";"O"
"nicht";"PTKNEG";"O";"O";"nicht";"PTKNEG";"O";"O";"O";"O";"O"
"mehr";"ADV";"O";"O";"mehr";"ADV";"O";"O";"O";"O";"O"
"meckern";"VVINF";"O";"O";"meckern";"VVINF";"O";"O";"O";"O";"O"
"sondern";"KON";"O";"O";"sondern";"KON";"O";"O";"O";"O";"O"
"mal";"ADV";"O";"O";"mal";"ADV";"O";"O";"O";"O";"O"
"mit";"APPR";"O";"O";"mit";"APPR";"O";"O";"O";"O";"O"
"anfassen";"ADJA";"O";"O";"anfassen";"ADJA";"O";"O";"O";"O";"O"
"Jeder";"PIS";"O";"O";"Jeder";"PIS";"O";"O";"O";"O";"O"
"einzelne";"ADJA";"O";"O";"einzelne";"ADJA";"O";"O";"O";"O";"O"
"von";"APPR";"O";"O";"von";"APPR";"O";"O";"O";"O";"O"
"euch";"PPER";"O";"O";"euch";"PPER";"O";"O";"O";"O";"O"
"kann";"VMFIN";"O";"O";"kann";"VMFIN";"O";"O";"O";"O";"O"
"helfen";"VVINF";"O";"O";"helfen";"VVINF";"O";"O";"O";"O";"O"
"sei";"VAFIN";"O";"O";"sei";"VAFIN";"O";"O";"O";"O";"O"
"es";"PPER";"O";"O";"es";"PPER";"O";"O";"O";"O";"O"
"durch";"APPR";"O";"O";"durch";"APPR";"O";"O";"O";"O";"O"
"Sachspenden";"NN";"O";"O";"Sachspenden";"NN";"O";"O";"O";"O";"O"
"Transport";"NN";"O";"O";"Transport";"NN";"O";"O";"O";"O";"O"
"oder";"KON";"O";"O";"oder";"KON";"O";"O";"O";"O";"O"
"mit";"APPR";"O";"O";"mit";"APPR";"O";"O";"O";"O";"O"
"anpacken";"VVINF";"O";"O";"anpacken";"VVINF";"O";"O";"O";"O";"O"
"In";"APPR";"O";"O";"In";"APPR";"O";"O";"O";"O";"O"
"dieser";"PDAT";"O";"O";"dieser";"PDAT";"O";"O";"O";"O";"O"
"Gruppe";"NN";"O";"O";"Gruppe";"NN";"O";"O";"O";"O";"O"
"ist";"VAFIN";"O";"O";"ist";"VAFIN";"O";"O";"O";"O";"O"
"jeder";"PIDAT";"O";"O";"jeder";"PIDAT";"O";"O";"O";"O";"O"
"Willkommen";"NN";"O";"O";"Willkommen";"NN";"O";"O";"O";"O";"O"
"der";"ART";"O";"O";"der";"ART";"O";"O";"O";"O";"O"
"mich";"PRF";"O";"O";"mich";"PRF";"O";"O";"O";"O";"O"
"unterstützen";"VVINF";"O";"O";"unterstützen";"VVINF";"O";"O";"O";"O";"O"
"möchte";"VMFIN";"O";"O";"möchte";"VMFIN";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"den";"ART";"O";"O";"den";"ART";"O";"O";"O";"O";"O"
"Leuten";"NN";"O";"O";"Leuten";"NN";"O";"O";"LOC";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"den";"ART";"O";"O";"den";"ART";"O";"O";"O";"O";"O"
"betroffenen";"ADJA";"O";"O";"betroffenen";"ADJA";"O";"O";"O";"O";"O"
"Regionen";"NN";"O";"O";"Regionen";"NN";"O";"O";"O";"O";"O"
"eine";"ART";"O";"O";"eine";"ART";"O";"O";"O";"O";"O"
"kleine";"ADJA";"O";"O";"kleine";"ADJA";"O";"O";"O";"O";"O"
"Freude";"NN";"O";"O";"Freude";"NN";"O";"O";"O";"O";"O"
"bereiten";"VVINF";"O";"O";"bereiten";"VVINF";"O";"O";"O";"O";"O"
"möchte";"VMFIN";"O";"O";"möchte";"VMFIN";"O";"O";"O";"O";"O"
"Unter";"APPR";"O";"O";"Unter";"APPR";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"können";"VMFIN";"O";"O";"können";"VMFIN";"O";"O";"O";"O";"O"
"alle";"PIDAT";"O";"O";"alle";"PIDAT";"O";"O";"O";"O";"O"
"Informationen";"NN";"O";"O";"Informationen";"NN";"O";"O";"O";"O";"O"
"erfragt";"VVPP";"O";"O";"erfragt";"VVPP";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"auch";"ADV";"O";"O";"auch";"ADV";"O";"O";"O";"O";"O"
"Sandsäcke";"NN";"O";"O";"Sandsäcke";"NN";"O";"O";"O";"O";"O"
"geordert";"VVPP";"O";"O";"geordert";"VVPP";"O";"O";"O";"O";"O"
"werden";"VAFIN";"O";"O";"werden";"VAFIN";"O";"O";"O";"O";"O"
"Ebenso";"ADV";"O";"O";"Ebenso";"ADV";"O";"O";"O";"O";"O"
"können";"VMFIN";"O";"O";"können";"VMFIN";"O";"O";"O";"O";"O"
"sich";"PRF";"O";"O";"sich";"PRF";"O";"O";"O";"O";"O"
"Helfer";"NN";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"registrieren";"VVINF";"O";"O";"registrieren";"VVINF";"O";"O";"O";"O";"O"
"lassen";"VVFIN";"O";"O";"lassen";"VVFIN";"O";"O";"O";"O";"O"
"auf";"APPR";"O";"O";"auf";"APPR";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"bei";"APPR";"O";"O";"bei";"APPR";"O";"O";"O";"O";"O"
"Bedarf";"NN";"O";"O";"Bedarf";"NN";"O";"O";"O";"O";"O"
"zurückgegriffen";"VVPP";"O";"O";"zurückgegriffen";"VVPP";"O";"O";"O";"O";"O"
"werden";"VAINF";"O";"O";"werden";"VAINF";"O";"O";"O";"O";"O"
"kann";"VMFIN";"O";"O";"kann";"VMFIN";"O";"O";"O";"O";"O"
"Hallo";"ITJ";"O";"O";"Hallo";"ITJ";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"befinde";"VVFIN";"O";"O";"befinde";"VVFIN";"O";"O";"O";"O";"O"
"mich";"PRF";"O";"O";"mich";"PRF";"O";"O";"O";"O";"O"
"momentan";"ADJD";"O";"O";"momentan";"ADJD";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"der";"ART";"O";"O";"der";"ART";"O";"O";"O";"O";"O"
"Schweiz";"NE";"LOC";"LOC";"Schweiz";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"auf";"APPR";"O";"O";"auf";"APPR";"O";"O";"O";"O";"O"
"Montage";"NN";"O";"O";"Montage";"NN";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"muss";"NN";"O";"O";"Muss";"NN";"O";"O";"O";"O";"O"
"mit";"APPR";"O";"O";"mit";"APPR";"O";"O";"O";"O";"O"
"Bedauern";"NN";"O";"O";"Bedauern";"NN";"O";"O";"O";"O";"O"
"ansehen";"VVFIN";"O";"O";"ansehen";"VVFIN";"O";"O";"O";"O";"O"
"wie";"KOKOM";"O";"O";"wie";"KOKOM";"O";"O";"O";"O";"O"
"Thüringen";"NE";"LOC";"LOC";"Thüringen";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"absäuft";"VVFIN";"O";"O";"absäuft";"VVFIN";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"möchte";"VMFIN";"O";"O";"möchte";"VMFIN";"O";"O";"O";"O";"O"
"Euch";"PPER";"O";"O";"Euch";"PPER";"O";"O";"O";"O";"O"
"anbieten";"VVFIN";"O";"O";"anbieten";"VVFIN";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"irgendeiner";"PIAT";"O";"O";"irgendeiner";"PIAT";"O";"O";"O";"O";"O"
"Form";"NN";"O";"O";"Form";"NN";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"helfen";"VVINF";"O";"O";"helfen";"VVINF";"O";"O";"O";"O";"O"
"ab";"APPR";"O";"O";"ab";"APPR";"O";"O";"O";"O";"O"
"Dienstag";"NN";"O";"O";"Dienstag";"NN";"O";"O";"O";"O";"O"
"bin";"VAFIN";"O";"O";"bin";"VAFIN";"O";"O";"O";"O";"O"
"ich";"PPER";"O";"O";"ich";"PPER";"O";"O";"O";"O";"O"
"wieder";"ADV";"O";"O";"wieder";"ADV";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"Sonneberg";"NE";"LOC";"LOC";"Sonneberg";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"würde";"VAFIN";"O";"O";"würde";"VAFIN";"O";"O";"O";"O";"O"
"mit";"APPR";"O";"O";"mit";"APPR";"O";"O";"O";"O";"O"
"ein";"ART";"O";"O";"ein";"ART";"O";"O";"O";"O";"O"
"paar";"PIDAT";"O";"O";"paar";"PIDAT";"O";"O";"O";"O";"O"
"Helfern";"NN";"O";"O";"Helfern";"NN";"O";"O";"LOC";"O";"O"
"meiner";"PPOSAT";"O";"O";"meiner";"PPOSAT";"O";"O";"O";"O";"O"
"Firma";"NN";"O";"O";"Firma";"NN";"O";"O";"O";"O";"O"
"Euch";"PPER";"O";"O";"Euch";"PPER";"O";"O";"O";"O";"O"
"unterstützen";"VVFIN";"O";"O";"unterstützen";"VVFIN";"O";"O";"O";"O";"O"
"Aufräumungsarbeiten";"NN";"O";"O";"Aufräumungsarbeiten";"NN";"O";"O";"O";"O";"O"
"Trocknungen";"NN";"O";"O";"Trocknungen";"NN";"O";"O";"O";"O";"O"
"alles";"PIS";"O";"O";"alles";"PIS";"O";"O";"O";"O";"O"
"was";"PWS";"O";"O";"was";"PWS";"O";"O";"O";"O";"O"
"anfallen";"VVINF";"O";"O";"anfallen";"VVINF";"O";"O";"O";"O";"O"
"würde";"VAFIN";"O";"O";"würde";"VAFIN";"O";"O";"O";"O";"O"
"ca";"APPR";"O";"O";"ca";"APPR";"O";"O";"O";"O";"O"
"Woche";"NN";"O";"O";"Woche";"NN";"O";"O";"O";"O";"O"
"könnten";"VMFIN";"O";"O";"könnten";"VMFIN";"O";"O";"O";"O";"O"
"wir";"PPER";"O";"O";"wir";"PPER";"O";"O";"O";"O";"O"
"helfen";"VVINF";"O";"O";"helfen";"VVINF";"O";"O";"O";"O";"O"
"Wer";"PWS";"O";"O";"Wer";"PWS";"O";"O";"O";"O";"O"
"was";"PWS";"O";"O";"was";"PWS";"O";"O";"O";"O";"O"
"weiss";"VVFIN";"O";"O";"weiss";"VVFIN";"O";"O";"O";"O";"O"
"oder";"KON";"O";"O";"oder";"KON";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"benötigt";"VVFIN";"O";"O";"benötigt";"VVFIN";"O";"O";"O";"O";"O"
"bitte";"ADV";"O";"O";"bitte";"ADV";"O";"O";"O";"O";"O"
"meldet";"VVFIN";"O";"O";"meldet";"VVFIN";"O";"O";"O";"O";"O"
"Euch";"PPER";"O";"O";"Euch";"PPER";"O";"O";"O";"O";"O"
"Gruss";"NE";"O";"O";"Gruss";"NE";"O";"O";"O";"O";"O"
"Illig";"NE";"O";"O";"Illig";"NE";"O";"O";"O";"O";"O"
"Tobias";"NE";"O";"O";"Tobias";"NE";"O";"O";"O";"O";"O"
"Ihr";"PPOSAT";"O";"O";"Ihr";"PPOSAT";"O";"O";"O";"O";"O"
"lieben";"ADJA";"O";"O";"lieben";"ADJA";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"fleissigen";"ADJA";"O";"O";"fleissigen";"ADJA";"O";"O";"O";"O";"O"
"Helfer";"NN";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"es";"PPER";"O";"O";"es";"PPER";"O";"O";"O";"O";"O"
"ist";"VAFIN";"O";"O";"ist";"VAFIN";"O";"O";"O";"O";"O"
"zur";"APPRART";"O";"O";"zur";"APPRART";"O";"O";"O";"O";"O"
"Zeit";"NN";"O";"O";"Zeit";"NN";"O";"O";"O";"O";"O"
"sehr";"ADV";"O";"O";"sehr";"ADV";"O";"O";"O";"O";"O"
"schwer";"ADJD";"O";"O";"schwer";"ADJD";"O";"O";"O";"O";"O"
"etwas";"PIS";"O";"O";"etwas";"PIS";"O";"O";"O";"O";"O"
"richtig";"ADJD";"O";"O";"richtig";"ADJD";"O";"O";"O";"O";"O"
"zu";"PTKZU";"O";"O";"zu";"PTKZU";"O";"O";"O";"O";"O"
"koordinieren";"VVINF";"O";"O";"koordinieren";"VVINF";"O";"O";"O";"O";"O"
"was";"PWS";"O";"O";"was";"PWS";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"angeht";"VVFIN";"O";"O";"angeht";"VVFIN";"O";"O";"O";"O";"O"
"da";"ADV";"O";"O";"da";"ADV";"O";"O";"O";"O";"O"
"man";"PIS";"O";"O";"man";"PIS";"O";"O";"O";"O";"O"
"nirgends";"NN";"O";"O";"Nirgends";"NN";"O";"O";"O";"O";"O"
"hinkommt";"VVFIN";"O";"O";"hinkommt";"VVFIN";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"verschiedenen";"ADJA";"O";"O";"verschiedenen";"ADJA";"O";"O";"O";"O";"O"
"Stadtteile";"NN";"O";"O";"Stadtteile";"NN";"O";"O";"O";"O";"O"
"Geht";"VVFIN";"O";"O";"Geht";"VVFIN";"O";"O";"O";"O";"O"
"einfach";"ADV";"O";"O";"einfach";"ADV";"O";"O";"O";"O";"O"
"los";"PTKVZ";"O";"O";"los";"PTKVZ";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"schaut";"VVFIN";"O";"O";"schaut";"VVFIN";"O";"O";"O";"O";"O"
"in";"APPR";"O";"O";"in";"APPR";"O";"O";"O";"O";"O"
"eurer";"ADJA";"O";"O";"eurer";"ADJA";"O";"O";"O";"O";"O"
"Nähe";"NN";"O";"O";"Nähe";"NN";"O";"O";"O";"O";"O"
"wer";"PWS";"O";"O";"wer";"PWS";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"braucht";"VVFIN";"O";"O";"braucht";"VVFIN";"O";"O";"O";"O";"O"
"z";"PPER";"O";"O";"z";"PPER";"O";"O";"O";"O";"O"
"B";"NN";"O";"O";"B";"NN";"O";"O";"O";"O";"O"
"einfach";"ADV";"O";"O";"einfach";"ADV";"O";"O";"O";"O";"O"
"mal";"ADV";"O";"O";"mal";"ADV";"O";"O";"O";"O";"O"
"essen";"VVINF";"O";"O";"essen";"VVINF";"O";"O";"O";"O";"O"
"Getränke";"NN";"O";"O";"Getränke";"NN";"O";"O";"O";"O";"O"
"zusammenpacken";"VVINF";"O";"O";"zusammenpacken";"VVINF";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"los";"ADJD";"O";"O";"los";"ADJD";"O";"O";"O";"O";"O"
"gehen";"VVFIN";"O";"O";"gehen";"VVFIN";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Hilfe";"NN";"O";"O";"Hilfe";"NN";"O";"O";"O";"O";"O"
"wird";"VAFIN";"O";"O";"wird";"VAFIN";"O";"O";"O";"O";"O"
"meistens";"ADV";"O";"O";"meistens";"ADV";"O";"O";"O";"O";"O"
"nicht";"PTKNEG";"O";"O";"nicht";"PTKNEG";"O";"O";"O";"O";"O"
"weit";"ADJD";"O";"O";"weit";"ADJD";"O";"O";"O";"O";"O"
"von";"APPR";"O";"O";"von";"APPR";"O";"O";"O";"O";"O"
"der";"ART";"O";"O";"der";"ART";"O";"O";"O";"O";"O"
"eigenen";"ADJA";"O";"O";"eigenen";"ADJA";"O";"O";"O";"O";"O"
"Haustür";"NN";"O";"O";"Haustür";"NN";"O";"O";"O";"O";"O"
"gebraucht";"VVPP";"O";"O";"gebraucht";"VVPP";"O";"O";"O";"O";"O"
"Liebe";"NN";"O";"O";"Liebe";"NN";"O";"O";"O";"O";"O"
"Helfer";"NN";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"habe";"VAFIN";"O";"O";"habe";"VAFIN";"O";"O";"O";"O";"O"
"gerade";"ADV";"O";"O";"gerade";"ADV";"O";"O";"O";"O";"O"
"Rücksprache";"NN";"O";"O";"Rücksprache";"NN";"O";"O";"O";"O";"O"
"mit";"APPR";"O";"O";"mit";"APPR";"O";"O";"O";"O";"O"
"dem";"ART";"O";"O";"dem";"ART";"O";"O";"O";"O";"O"
"BRK";"NE";"O";"O";"Brk";"NE";"O";"O";"O";"O";"O"
"Passau";"NE";"LOC";"O";"Passau";"NE";"LOC";"LOC";"LOC";"LOC";"LOC"
"gehabt";"VAPP";"O";"O";"gehabt";"VAPP";"O";"O";"O";"O";"O"
"Kleidung";"NN";"O";"O";"Kleidung";"NN";"O";"O";"O";"O";"O"
"und";"KON";"O";"O";"und";"KON";"O";"O";"O";"O";"O"
"Sachspenden";"NN";"O";"O";"Sachspenden";"NN";"O";"O";"O";"O";"O"
"bitte";"VVFIN";"O";"O";"bitte";"VVFIN";"O";"O";"O";"O";"O"
"erstmal";"ADV";"O";"O";"erstmal";"ADV";"O";"O";"O";"O";"O"
"bei";"APPR";"O";"O";"bei";"APPR";"O";"O";"O";"O";"O"
"Euch";"PPER";"O";"O";"Euch";"PPER";"O";"O";"O";"O";"O"
"lassen";"VVFIN";"O";"O";"lassen";"VVFIN";"O";"O";"O";"O";"O"
"In";"APPR";"O";"O";"In";"APPR";"O";"O";"O";"O";"O"
"erster";"ADJA";"O";"O";"erster";"ADJA";"O";"O";"O";"O";"O"
"Linie";"NN";"O";"O";"Linie";"NN";"O";"O";"O";"O";"O"
"geht";"VVFIN";"O";"O";"geht";"VVFIN";"O";"O";"O";"O";"O"
"es";"PPER";"O";"O";"es";"PPER";"O";"O";"O";"O";"O"
"momentan";"ADJD";"O";"O";"momentan";"ADJD";"O";"O";"O";"O";"O"
"um";"APPR";"O";"O";"um";"APPR";"O";"O";"O";"O";"O"
"die";"ART";"O";"O";"die";"ART";"O";"O";"O";"O";"O"
"Evakuierung";"NN";"O";"O";"Evakuierung";"NN";"O";"O";"O";"O";"O"
"Unterkünfte";"NN";"O";"O";"Unterkünfte";"NN";"O";"O";"O";"O";"O"
"bitte";"ADV";"O";"O";"bitte";"ADV";"O";"O";"O";"O";"O"
"mit";"APPR";"O";"O";"mit";"APPR";"O";"O";"O";"O";"O"
"Telefonnummer";"NN";"O";"O";"Telefonnummer";"NN";"O";"O";"O";"O";"O"
"per";"APPR";"O";"O";"per";"APPR";"O";"O";"O";"O";"O"
"PN";"NE";"O";"O";"Pn";"NE";"O";"O";"O";"O";"O"
"uns";"PRF";"O";"O";"uns";"PRF";"O";"O";"O";"O";"O"
"zusenden";"ADJA";"O";"O";"zusenden";"ADJA";"O";"O";"O";"O";"O"
"Freiwillige";"ADJA";"O";"O";"Freiwillige";"ADJA";"O";"O";"O";"O";"O"
"Helfer";"NN";"O";"O";"Helfer";"NN";"O";"O";"O";"O";"O"
"bitte";"ADV";"O";"O";"bitte";"ADV";"O";"O";"O";"O";"O"
"meldet";"VVFIN";"O";"O";"meldet";"VVFIN";"O";"O";"O";"O";"O"
"euch";"PPER";"O";"O";"euch";"PPER";"O";"O";"O";"O";"O"
"bei";"APPR";"O";"O";"bei";"APPR";"O";"O";"O";"O";"O"
"den";"ART";"O";"O";"den";"ART";"O";"O";"O";"O";"O"
"bekannten";"ADJA";"O";"O";"bekannten";"ADJA";"O";"O";"O";"O";"O"
"Stellen";"NN";"O";"O";"Stellen";"NN";"O";"O";"LOC";"O";"O"
"melden";"VVINF";"O";"O";"melden";"VVINF";"O";"O";"O";"O";"O"
"wie";"KOKOM";"O";"O";"wie";"KOKOM";"O";"O";"O";"O";"O"
"FFW";"NN";"O";"O";"Ffw";"NE";"O";"O";"O";"O";"O"
"BRK";"NE";"O";"O";"Brk";"NE";"O";"O";"O";"O";"O"
"THW";"NE";"O";"O";"Thw";"NE";"O";"O";"O";"O";"O"
"usw";"NE";"O";"O";"Usw";"NE";"O";"O";"O";"O";"O"
"Geldspenden";"NN";"O";"O";"Geldspenden";"NN";"O";"O";"O";"O";"O"
"bitte";"VVFIN";"O";"O";"bitte";"VVFIN";"O";"O";"O";"O";"O"
"an";"APPR";"O";"O";"an";"APPR";"O";"O";"O";"O";"O"
"folgendes";"ADJA";"O";"O";"folgendes";"ADJA";"O";"O";"O";"O";"O"
"Konto";"NN";"O";"O";"Konto";"NN";"O";"O";"O";"O";"O"
"Rotes";"ADJA";"O";"O";"Rotes";"ADJA";"O";"O";"O";"O";"O"
