messageId;label;content
120890141452807_121391298069358;non relief;"Die 8,60 m Marke sind errechnete Daten, die man jetzt überhaupt nicht absehen kann. Viele Faktoren spielen eine Rolle dabei, wie Überflutungsgebiete usw. Es bleibt uns nicht anderes als abzuwarten.
Der Krisenstab wurde schon eingerichtet. Es werden schon alle Vorbereitungen für die Maßnahmen der Gefahrenabwehr getroffen. Diese Seite soll als Informationsaustausch dienen, wir bitten daher von Panikgemache abzusehen.
Wir geben hier die Info, wo es freiwillige Aktionen gibt, wie zum Beispiel Sandsäcke füllen usw.
Bis dahin bitte Ruhe bewahren und abwarten. Wenn es ernst werden sollte, dann halten wir alle zusammen.

Das Zitat im Titelbild sollte man sich zu Herzen nehmen"
120890141452807_121452291396592;non relief;Oh Leute, da kommt was riiieeeesiges auf euch/uns zu!! im Moment bin ich noch in Halle/Saale und hier ist Notstand ausgebrochen. An jeder Ecke werden Sandsäcke geschaufelt und Dörfer wurden evakuiert! Die ganze Nacht durch wird weiter gearbeitet. Am Wochenende fahre ich wieder in die Prignitz, in die Heimat. Ich hoffe nur, dass es nicht so schlimm wird wie hier. Stellt euch auf viel, viel Wasser ein!! Schlimm, was hier los ist! :(
120890141452807_121457138062774;non relief;Wie steht's derzeit um Breese? Kann erst morgen meine Eltern anrufen und mach mir Sorgen.
126964354175033_126993637505438;non relief;Hochwasserbilder und Musik über Wasser 
126964354175033_127035334167935;non relief;Als hätten wir es schon lange nicht mehr gehabt, es regnet mal wieder :(
135966846417452_653103101370488;non relief;Unser neuartiges Aluminium Dammbalkensystem - keine langen Aufbauarbeiten und keine Schraubverbindungen - die Dammbalken in die Führungen schieben und mit einem Schlag verkeilen - FERTIG.
136215233240743_136215586574041;non relief;"Hier können alle Sachspenden anbieten 
Toll wäre den Artikelstandort bekannt zu geben!

Auch betroffene können sich melden, was sie brauchen!!"
136215233240743_136216566573943;non relief;Bin aus Ennsdorf/Enns und kann kinder und erwachsenen kleidung spenden. Auch decken usw.  Außerdem könnte ich einen schlafplatz für vier personen anbieten. Einfach melden
136215233240743_136216873240579;non relief;Ich kann mit kindersachen (spielzeug kleidung gr 104-116 62-68 für mädchen) Damenkleidung gr L/XL und ein paar haushaltartikel dienen!! Bin aus Strobl
136215233240743_136219833240283;non relief;Ich hab damenkleidung gr. 36, kann man in schärding holen!
136215233240743_136221046573495;non relief;Hallo, hätte ein Maxi Cosi Travelsystem Kinderwagen mit Neugeborenen und Sportwagenaufsatz zum hergeben. Kinderkleidung gr. 50-86 Mädchen und Jungensachen
136215233240743_136221056573494;non relief;"wir hätten herrenkleidung größe 52;damenkleidung größe34;kinderkleidung größe 122-134 und auch schuhwerk;geschirr und einiges mehr!würden es auch betreffenden menschen persönlich bringen!mfg."
136215233240743_136228883239378;non relief;Wir hätten ein babybett mit matratze abzugeben, und etwas kinderbegleitung gr.80-98 und einiges an babyspielzeug, kinderbücher etc. Bettwäsche,ein paar duschhandtücher und einen schulranzen.. Aber nur an Hochwasseropfer abzugeben und nicht an bettler
136215233240743_136247283237538;non relief;hallo hab ein gitterbett mit matratze für betroffene kindergewand in 68 74
136215233240743_136252609903672;non relief;danke für die Aufnahme
136215233240743_136252923236974;non relief;Hallo ich bzw. wir hätten eine 2 Sitzercouch die als Bett ausgezogen werden kann abzu geben Standort wäre in 83119 Obing
136215233240743_136254039903529;non relief;Hallo hätte Mädchenkleidung Größe 50-74 bassal was in 80 auch. Babywippe, Staubsauger leider ohne bäutel. Bettwäsche. Für Betroffene. Bin aus Neumarkt.
136215233240743_136274196568180;non relief;"hallo!
suche bitte bitte einen kinderwagen zum herleihen für ein paar tage!
eine freundin wurde mit ihrer 2 wochen alten tochter aus ihrem haus evakuiert und konnte nichts aufs boot mitnehmen!"
136215233240743_136283323233934;non relief;Habe babykleidung decken Handtücher etc zum hergeben!!!
136215233240743_136300116565588;non relief;Damenklamotten in 42-44 zum abgeben für hochwasser opfer!!
136215233240743_136304133231853;non relief;Kleidung, Bettzeug und etwas geschirr zu vergeben!!! bei bedarf bitte melden, alles in ordentlichem zustand!!!!
136215233240743_136312069897726;non relief;hab 1 Kinderwagen, 2 Matratzen, etwas Kinder-Shirts Gr. 122 - 134, 1 Schultasche....abzugeben. abzuholen in Linz Süd/ Kleinmünchen.
136215233240743_136312916564308;non relief;Ich hätte auch etwas an Sachspenden ( Kleidung für Kinder, Haushalts Artikel...).Standort Asten. Muss leider arbeiten sonst wurde ich auch anderweitig helfen..
136215233240743_136314056564194;non relief;Verschenke PC an vom Hochwasser Betroffene. Voll funktionstüchtig. Bezirk Schärding
136215233240743_136323639896569;non relief;"Danke für die Aufnahme
Hab selber keine Sachspenden,hätte eventuell unterkunft zu vergeben für 2-3 personen
Aber bin in einer Gruppe wo einige Sachspenden hätten
Darf ich da euren Link teilen?"
136215233240743_136325329896400;non relief;Wir haetten kleidung decken bettwaesche. Stadtflohmarkt st.poelten susi und herta
136215233240743_136337739895159;non relief;habe peg perego hochstuhl gleich abzuholen in st. pölten wagram sowie Autositz von 7bis 15 kg!! bitte pn bei Interesse danke!
136215233240743_136343546561245;non relief;Hätts auch Kinderkleidung, Spielsachen, Decken, Schuhe etc zu vergeben!!
136215233240743_136351753227091;non relief;Es freut mich sehr, schon einige Mitglieder zu haben! Ich hoffe wir können der ein oder anderen Familie helfen!!! Danke an euch...und bitte fleißig eure Freunde einladen!
136215233240743_136355326560067;non relief;Hier gibts Kategorien, je nachdem was ihr habt, bitte einfach auf die kategorie klicken! Jeder der nach dem ersten Schock hilfe braucht, findet sie so leichter! DANKE 
136215233240743_136357146559885;non relief;Sehr viele bekannte würden gerne bekleidung spenden jetzt hätte ich die frage bei wem geben wir die sachen ab?? Lg daniela
137187686479040_137188303145645;non relief;"Hier soll den Hochwasseropfern geholfen werden. Durch Sachspenden,Quartiere und jegliche andere Hilfe. Beiträge über Sachen die verkauft werden,...und andere Beiträge die keine Hilfe anbieten werden hier gelöscht !!! 
Bitte nur ernstgemeinte und seriöse Hilfe anbieten."
137187686479040_137189819812160;non relief;Wir bieten Kinderbetreuung mit Schlafplatz,Wasch und Trockengelegenheit für Wäsche,Aufräumarbeiten am WE,...
137187686479040_137189946478814;non relief;Ladet bitte all eure Freunde in die Gruppe ein,damit jeder Hilfe anbieten kann
137187686479040_137212759809866;non relief;je nach dem wie weit alles gegangen ist, hätten wir a weng a geschirr und gewand zum hergeben. gr. 40
137187686479040_137212763143199;non relief;je nach dem wie weit alles gegangen ist, hätten wir a weng a geschirr und gewand zum hergeben. gr. 40
137187686479040_137315153132960;non relief;Will niemand helfen? Die Leute brauchen jetzt Hilfe! Nicht wenn alles vorbei ist!
137187686479040_137317116466097;non relief;HALLO :) bin aus schwanenstadt und hätte 1 platz zum schlafen, würde auch mal auf kinder aufpassen, habe selber einen 1 jahr alten sohn. kann auch kleidung waschen und essen machen. lg
137187686479040_137320156465793;non relief;"hallo!
suche bitte bitte einen kinderwagen zum herleihen für ein paar tage!
eine freundin wurde mit ihrer 2 wochen alten tochter aus ihrem haus evakuiert und konnte nichts aufs boot mitnehmen!"
137187686479040_137360229795119;non relief;wir könnten ab Mittwoch vorübergehend 2 Kinder aufnehmen bin selber Mami könnte auch Wäsche waschen und trocknen wenn jemanden damit geholfen ist sind aus Vorchdorf (Bez.Gmunden)
137187686479040_137426103121865;non relief;"Hey, ich habe (für Jungs) Kleidung für Baby bis Kleinkind alter gr. 50 - 92 , Fläschchen (Glas), Fläschensterilisator für Mikrowelle, Stillkissen.
Alles kostenlos zum her geben!!"
1375020639376259_1375026359375687;non relief;Hallo Sonja. Gute Idee!
1375020639376259_1375030762708580;non relief;Mit dieser Gruppe möchte ich alle aufrufen zu helfen. Jede/r der ein Zimmer mit 1-2 Schlafmöglichkeiten, oder sogar mehr, für Vater, Mutter Kind z.B. oder auch nur ein Bett zur Verfügung stllen kann, sowie Kleidung und Ernährung, soll entweder hier posten, oder mir per pm schreiben, die Menschen brauchen SOFORT Hilfe, die der Staat , die Komunen so nicht leisten können, holt unsere Landsleute aus den Lagern, bis alles wieder besser wird und ist, zeigt Initiative und Herz!! Jetzt - Sofort! 
138429446351843_138429449685176;non relief;"Jetzt heißt es nicht mehr meckern sondern mal mit anfassen.
Jeder einzelne von euch kann helfen, sei es durch Sachspenden, Transport oder mit anpacken.
In dieser Gruppe ist jeder Willkommen der mich unterstützen möchte und den Leuten in den betroffenen Regionen eine kleine Freude bereiten möchte."
138429446351843_138433853018069;non relief;Schau doch auch mal bei eBay-Kleinanzeigen nach. Dort verschenken viele Leute was.
141094429416431_141097019416172;relief;Unter 03525/ 5131-920, -922 und -923 können alle Informationen erfragt und auch Sandsäcke geordert werden. Ebenso können sich Helfer registrieren lassen, auf die bei Bedarf zurückgegriffen werden kann.
141094429416431_141097486082792;non relief;"Pegelstand in Riesa : 03.06.2013 23:45 Uhr 
7,73m"
141094429416431_141100092749198;non relief;Hochwasserstufe 4 ist erreicht.
141094429416431_141100362749171;non relief;Angesichts zahlreicher Nachfragen und Gerüchte teilt die Stadtverwaltung Riesa mit, dass die Elbebrücke der Bundesstraße 169 mindestens am gesamten Montag (3.6.) weiterhin geöffnet bleibt. Ob die B 169 auf rechtselbischer Seite zu einem späteren Zeitpunkt gesperrt werden muss, hängt natürlich von der Entwicklung des Hochwassers ab.
141094429416431_141101339415740;non relief;Wo sind Wege und Strassen durch das Wasser blockiert ? Unterstützt uns !
141094429416431_141103349415539;non relief;Wo wird das mitgeteilt ab wann die b169 dicht ist?
141094429416431_141108736081667;non relief;Es ist die Ruhe vor dem Sturm
142796765911964_142797152578592;non relief; Ich hab jetz einfach mal eine Bruppe aufgemacht .. ganz zwanglos .. Aber vieleicht können alle Freunde / Bekannte aus der Umgebung einladen .. das jeder mal Infos durchgeben kann wo Hilfe gefunden wird etc
142796765911964_142797372578570;non relief;am besten einfach mal alles was ihr an informationen findet hier reinwerfen .. ich hab ja nun doch recht viele leute im bekanntenkreis der irgendwie betroffen ist ..vielleicht kann der ein oder andere hier hilfe finden ..
142796765911964_142827775908863;non relief;"http://www.umwelt.sachsen.de/de/wu/umwelt/lfug/lfug-internet/hwz/MP/560021/index.html
Richtig große sch***"
142796765911964_142931969231777;non relief;"Mitteilung
02.06.13: Notunterkünfte zunächst NUR im Wurzener Süden

Bitte beachten ! Stadtsporthalle noch nicht offen

Notunterkünfte in Wurzen:
Sporthalle Püttnerstraße, Diesterweg-Grundschule und Kita ""Sonnenschein"" alles in der Eduard-Schulze-Straße!!!
Wer Unterkunft benötigt, bitte dort melden. Das DRK ist vor Ort und sichert die gesamte Versorgung ab. Die Stadtsporthalle wird erst genutzt, wenn die Unterkünfte im Wurzener Süden ausgelastet sind."
142796765911964_142933842564923;non relief;"Meldung auf der Webseite der Stadt Leisnig:

Information zum Hochwasser | gültig ab 03.06.2013 - Stand 10:00 Uhr

Die Hochwasser-Alarmstufe 4 am Pegel Leisnig der Freiberger Mulde besteht fort. Momentan befindet sich der Pegel ca. 170 cm über dem Richtwert der Alarmstufe 4. Der Pegelstand hat leicht fallende Tendenz. Die Ortsteile Klosterbuch, Scheergrund und Altleisnig sind derzeit nicht mit Fahrzeugen erreichbar. Im Bereich Klosterbuch, Scheergrund, Altleisnig, Fischendorf, Tragnitz und Röda sind Straßensperrungen nach wie vor erforderlich.

Für Informationen steht Ihnen die Stadtverwaltung unter folgenden Rufnummern zur Verfügung:

034321/66640 und 034321/66650"
142796765911964_142933905898250;non relief;"03.06.2013 - 09:30 Uhr   |   Leipzig, TOP
Hochwasserlage spitzt sich weiter zu
7 Fotos
In Grimma ist Land unter. (Foto: Redaktion)

Keine Entspannung an den Flusspegeln in und um Leipzig. In der Nacht zum Montag sind die Wasserstände erneut nach oben gegangen - an der Mulde teilweise um 20 Zentimeter innerhalb einer Stunde.

Am Pegel Golzern bei Grimma wurde um 3 Uhr früh der Stand aus dem Jahr 2002 erreicht. Nach Stand Montagmorgen wird der Scheitel dort am Dienstagfrüh bzw. -vormittag erwartet. Inzwischen laufen Zwangsevakuierungen in der Innenstadt. Die Feuerwehr ist mit Booten unterwegs.

Feuer- und Wasserwehren, Polizei, THW und auch die Bundeswehr sind in den Katastrophengebieten im Dauereinsatz. Sie helfen beim Sandsäcke-Stapeln, leisten medizinische Hilfe und evakuieren mit. Auch Hubschrauber sind stellenweise mit im Einsatz.

Lage in Leipzig

Leipzig erwartet ein Hochwasser wie seit 150 Jahren nicht mehr. Für die Weiße Elster gilt Alarmstufe 4. Seit Montag-Morgen wird der Zwenkauer See geflutet - allerdings wird er laut Landestalsperrenverwaltung nicht die gesamten Wassermengen aufnehmen können.

Mit hoher Wahrscheinlichkeit muss deshalb noch der Auenwald geflutet werden. Die Frage ist nur wann! Gefahr für die Bürger besteht aktuell keine. Es gibt keinen Grund zur Panik, hieß es.

Die Verwaltung hat ein Verbot zum Betreten der Deiche herausgegeben. Es gilt für einen zehn Meter breiten Streifen landseitig vom Deichfuß. Andernfalls besteht Gefahr für Leib und Leben.

Die Feuerwehr befüllt weiter vorsorglich Sandsäcke und stellt sie Anwohner zur Verfügung. Deichläufer sind regelmäßig auf Kontrolle unterwegs. Dabei haben sie in der Nacht zu Sonntag kleinere Schadstellen ausgebessert. Grundsätzlich zeigen die Deichsanierungen von 2011 aber Wirkung, hieß es.

Bei Fragen können sich Anwohner an das Bürgertelefon wenden. Nummer: 123-0.

Erste Dämme gebrochen

Der Damm bei Nitzschka wurde unterspült, die Ortschaft teilweise evakuiert. Im Bereich Serbitz ist ebenfalls ein Damm gebrochen. Dort sind 30.000 Quadratmeter Fläche überflutet. In Grubnitz/Nepperwitz wird ein Dammbruch befürchtet. Auch hier werden die Menschen in Sicherheit gebracht - in Bennewitz sind es über 3.000.

Im Bereich Wurzen werden die Dämme aufgegeben, ebenso der Dammbereich Schmölen in Bennewitz. Die Einsatzkräfte konzentrieren sich nur noch auf das Retten von Menschenleben.

Landkreis Nordsachsen

An der Mulde rund um Bad Düben, Laußig und Co. wurde Katastrophenalarm ausgelöst. Inzwischen kann nicht mehr ausgeschlossen werden, dass das Wasser auch in die Stadt Eilenburg dringt.

Die Bürger sollen ihre Häuser verlassen und nicht darin zu verharren. Es besteht Gefahr für Leib und Leben. Alle Eilenburger südlich der Leipziger/Torgauer Straße sollen sich in das Notquartier in der Grundschule Ost auf der Puschkinstraße begeben. Für alle Anwohner nördlich davon steht die Grundschule Berg an der Halleschen Straße bereit.

In Eilenburg wurden inzwischen das Pflegeheim des DRK evakuiert, die Seniorenresidenz sowie das Altenpflegeheim in Löbnitz.

Weitere Notunterkünfte gibt es in Bad Düben (Turnhalle Mittelschule, Windmühlenweg), in Löbnitz (Schule, Schulstraße), in Laußig in der ehemaligen Mittelschule und in der Schule in Zschepplin (Hohenprießnitz).

Folgende Kommunen im Landkreis Nordsachsen sind ebenfalls betroffen:

Eilenburg:
Hainichen und Kläranlage

Laußig:
Teilbereiche Laußig
Gruna komplett
Teilbereiche Priestäblich

Doberschütz:
Teilbereiche Mörtitz

Bad Düben:
Schnaditz komplett und Klärwerk
Teilbereiche Bad Düben
Teilbereiche Tiefensee
Teilbereiche Wellaune

Jesewitz:
Teilbereiche Kossen

Zschepplin:
Teilbereiche Niederglaucha
Teilbereiche Oberglaucha
Teilbereiche Zschepplin
Teilbereiche Hohenprießnitz

Löbnitz:
Teilbereiche Löbnitz
Teilbereiche Roitzschjora

Überall fällt dort die Schule am Montag aus. Außerdem ist die B107 zwischen Wellaune und Hohenprießnitz gesperrt.

Der Landkreis Nordsachsen hat ein Bürgertelefon geschaltet. Die Nummern: 0342029885555 und 0342029885556

Email-Adresse buergertelefon@lra-nordsachsen.de

Landkreis Leipzig

Im Landkreis Leipzig wurde bereits am Samstagabend Katastrophenalarm ausgerufen. Rund 40 Gemeinden sind von Überschwemmungen an der Mulde betroffen. Diese werden ebenfalls evakuiert.

Für folgende Gemeinden gilt der Katastrophenalarm: Lastau, Colditz, Kleinsermuth und Sermuth, Tanndorf, Erlln, Maaschwitz, Podelwitz, Kössern, Kleinbothen, Schaddel, Höfgen, Grimma, Dorna, Bahren, Golzern, Nerchau, Wednig, Zöhda, Neichen, Pauschwitz, Trebsen, Walzig, Nitzschka, Pausitz, Schmölen, Dehnitz, Bennewitz, Deuben, Dögnitz, Lübschütz, Grubnitz, Nepperwitz, Wasewitz, Canitz, Püchau, Kollau, Thallwitz, soweit sie vom Ausbreitungsstand des möglichen Hochwassers erfasst werden.

Am Montagmorgen wurde auch entlang der Wyhra Katastrophenalarm ausgelöst.

Anwohner können sich über die Homepage www.landkreisleipzig.de informieren. Außerdem wurde ein Bürgertelefon eingerichtet. Dieses ist unter folgender Nummer zu erreichen: 03437/984 2222.

Stadtverwaltung Trebsen: 034383/604 0

Situation in Grimma

Am Sonntagmorgen hat sich auch in Grimma die Lage wieder zugespitzt. Die Höchste Warnstufe 4 wurde an der Mulde nach einer leichten Entspannung am Samstag wieder erreicht. Anwohner wurden aufgefordert ihre Autos wegzufahren. Inzwischen ist Grimma komplett abgeriegelt. Die Evakuierungen in der Innenstadt laufen. Dort müssen 3.000 bis 5.000 Menschen in Sicherheit gebracht werden, hieß es.

In Grimma fällt am Montag und Dienstag an allen Schulen der Unterricht aus. Außerdem findet im ehemaligen Muldentalkreis keine Schülerbeförderung statt. Eltern wurden aufgefordert, ihre Kinder zuhause zu betreuen.

Die Stadt bittet alle Firmen, ihre Mitarbeiter freizustellen, die bei der Feuerwehr aktiv sind. Es werden dringend Ablösekräfte gesucht.

Bereits in der Nacht zu Samstag waren in Grimma mehrere Wohnhäuser evakuiert worden, zehn pflegebedürftige Menschen wurden in eine Notunterkunft gebracht. Einige Straßen waren von Überflutungen betroffen - darunter Mühlstraße, Großmühle und Floßplatz, Baderplan, Paul-Gerhardt-Straße, Volkshausplatz, Friedrich-Oettler Straße.

Anwohner können sich per SMS über eine Evakuierung informieren.
Anmeldung für den SMS-Warndienst unter: zeleny.gudrun(@)grimma.de

Außerdem wurde ein Helfertelefon eingerichtet: Tel.: 0151/58 03 41 80

Die Hochwasseralarmstufen

Alarmstufe 1
Erhöhte Flusspegel. Das Landeshochwasserzentrum erfasst alle Daten und leitet sie an die Gemeinden weiter.

Alarmstufe 2
Erste Überschwemmungen von Straßen und Wiesen. Besonders gefährdete Gebäude und Flüsse werden kontrolliert. Außerdem werden Wehre und Deiche überprüft.

Alarmstufe 3
Erste Überschwemmung von Gebäuden und Schienen. Für Anwohner in den Hochwassergebieten steigt die Gefahr. Betroffene sollten sich bei ihrer Gemeinde über geplante Maßnahmen informieren. Wehre und Flüsse werden ständig beobachtet. Die Vorbereitungen für den Katastrophenfall laufen.

Alarmstufe 4
Katastrophenalarm. Das ist die höhste Alarmstufe. Evakuierungen werden vorbereitet. Anwohner sollten sich unbedingt bei ihrer Gemeinde über die aktuelle Lage informieren und ggf. Informationen an Nachbarn und Bekannte weitergeben.

Weitere Informationen über aktuelle Pegelstände gibt es hier:

Aktuelle Warnmeldungen: www.umwelt.sachsen.de/umwelt/wasser/7803.htm
Aktuelle Übersichtskarte: www.umwelt.sachsen.de/umwelt/wasser/7806.htm
Allgemeine Infos: www.hochwasserzentrum.sachsen.de

Telefonisch unter: 0351-8928260 / 0351-8928261

Veranstaltungen abgesagt

Durch die aktuelle Wetterlage sind auch am Wochende einige Veranstaltungen sprichwörtlich ins Wasser gefallen. Darunter am Sonntagmorgen der Elsterstausee-Benefiz-Lauf.

Auch das Sommerfest des Fußballvereins Lok Leipzig am Samstag wurde gestrichen. Der Sponsorenlauf konnte ebenso wenig wie das Fanturnier stattfinden. Plätze und Laufbahn im Bruno-Plache-Stadion waren vollkommen aufgeweicht.

Auch die Freibäder blieben laut den Sportbädern zu. Eigentlich sollten am Samstag die restlichen öffnen, darunter das Öko-Bad Lindenthal und Kinderfreibecken ""Robbe"" an der Schwimmhalle Nord."
